"Earthquake Date (UT)","Time (UT)","ID","Mag Type","Magnitude","Depth (km)","R?","Epic. Dist.(km)","PGA Vertical (mm/s/s)","PGA Horiz_1 (mm/s/s)","PGA Horiz_2 (mm/s/s)","PGA Vertical (%g)","PGA Horiz_1 (%g)","PGA Horiz_2 (%g)","Accelerogram ID","Site Code","Name","Site Latitude","Site Longitude","Site Elevation (m)"
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,46,28.0,19.6,28.1,0.2857,0.2001,0.2868,20160129_022038_WANS_20,WANS,"Wainuiomata Hill",-41.23122,174.93102,367
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,46,8.8,10.8,8.1,0.0895,0.1097,0.0826,20160129_022038_LNBS_20,LNBS,"Naenae Bowling Club",-41.20498,174.9266,0.0
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,47,16.3,14.1,15.7,0.1659,0.1437,0.1602,20160129_022039_WDAS_20,WDAS,"Wainuiomata Bush Fire Force",-41.257397389,174.948466416,90
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,47,5.2,6.6,7.6,0.0532,0.0670,0.0771,20160129_022032_BMTS_20,BMTS,"Belmont",-41.191372,174.92603,84
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,47,14.2,16.1,15.8,0.1453,0.1637,0.1613,20160129_022031_FAIS_20,FAIS,"Fairfield",-41.2074,174.9401,9999
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,49,9.0,37.6,14.9,0.0922,0.3839,0.1516,20160129_022031_NBSS_20,NBSS,"St Bernadette's School",-41.202272,174.953755,0.0
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,50,10.8,9.1,9.9,0.1104,0.0928,0.1009,20160129_022032_TAIS_20,TAIS,"Taita Central School",-41.18038403,174.954771915,0.0
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,53,64.9,54.2,98.5,0.6621,0.5525,1.0043,20160129_022031_HAVS_20,HAVS,"Havelock",-41.27227,173.78467,67
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,53,5.8,7.2,5.0,0.0594,0.0731,0.0506,20160129_022040_HSSS_20,HSSS,"Lower Hutt Haywards Substation",-41.151935054,174.981477266,0.0
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,57,5.5,10.8,9.7,0.0558,0.1102,0.0987,20160129_022033_WDFS_20,WDFS,"Ward Fire Station",-41.827398743,174.138423708,34
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,59,4.4,4.3,4.3,0.0445,0.0435,0.0437,20160129_022041_UHCS_20,UHCS,"Upper Hutt College",-41.12681462,175.040938121,53
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,61,7.0,4.4,5.1,0.0712,0.0453,0.0524,20160129_022041_UHSS_20,UHSS,"Upper Hutt Primary School",-41.12638,175.06509,0.0
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,63,4.5,5.7,4.6,0.0461,0.0581,0.0472,20160129_022033_TOTS_20,TOTS,"Totara Park Upper Hutt",-41.10492,175.08539,0.0
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,74,3.1,3.6,4.0,0.0318,0.0369,0.0404,20160129_022043_NWFS_20,NWFS,"Ngawi Fire Station",-41.589065731,175.233958687,14
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,75,4.3,5.0,5.2,0.0438,0.0506,0.0532,20160129_022034_KIRS_20,KIRS,"Kaitoke Kiwi Ranch",-41.076883922,175.230010715,0.0
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,76,2.5,2.7,3.6,0.0257,0.0279,0.0372,20160129_022044_KEKS_20,KEKS,"Kekerengu Valley Road",-41.95569,173.98141,339
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,87,2.3,2.7,4.0,0.0235,0.0277,0.0410,20160129_022046_NNZ_20,NNZ,"Nelson",-41.217102661,173.379476754,130
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,90,2.5,2.9,2.7,0.0252,0.0297,0.0272,20160129_022047_MAVS_20,MAVS,"Martinborough Wines Vineyard",-41.210857507,175.461483109,33
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,95,1.8,3.2,2.6,0.0189,0.0323,0.0270,20160129_022049_NCBS_20,NCBS,"Nelson Council Building",-41.270873652,173.283675308,0.0
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,120,3.7,15.6,15.4,0.0378,0.1590,0.1571,20160129_022053_MOTS_20,MOTS,"Motueka DOC workshop",-41.124689614,173.009502506,13
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,153,3.5,2.8,2.4,0.0353,0.0285,0.0249,20160129_022101_TRMS_20,TRMS,"Tiraumea",-40.671276,175.990997,260
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,175,2.2,3.2,4.0,0.0228,0.0322,0.0411,20160129_022048_KHLS_20,KHLS,"Kaihoka Lakes",-40.55704,172.61189,66
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,249,0.9,1.9,1.9,0.0092,0.0196,0.0190,20160129_022059_VRZ_20,VRZ,"Vera Road",-39.12434088,174.758452563,166
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,294,5.3,6.3,12.7,0.0545,0.0645,0.1294,20160129_022127_GOVS_20,GOVS,"Living Springs Camp Governors Bay",-43.652421,172.635725,163
2016-01-29,02:20:19,2016p075939,M,4.07,32.5,,298,3.6,3.5,4.1,0.0363,0.0360,0.0422,20160129_022129_AKSS_20,AKSS,"Akaroa School",-43.81091,172.96349,13
