"Earthquake Date (UT)","Time (UT)","ID","Mag Type","Magnitude","Depth (km)","R?","Epic. Dist.(km)","PGA Vertical (mm/s/s)","PGA Horiz_1 (mm/s/s)","PGA Horiz_2 (mm/s/s)","PGA Vertical (%g)","PGA Horiz_1 (%g)","PGA Horiz_2 (%g)","Accelerogram ID","Site Code","Name","Site Latitude","Site Longitude","Site Elevation (m)"
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,3,393.1,307.1,446.1,4.0081,3.1320,4.5489,20160127_232443_TPLC_20,TPLC,"Templeton School",-43.549997156,172.471954205,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,5,167.2,333.5,194.3,1.7049,3.4008,1.9817,20160127_232444_RHSC_20,RHSC,"Riccarton High School",-43.536172,172.564404,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,7,268.1,475.7,694.3,2.7341,4.8507,7.0802,20160127_232444_HHSS_20,HHSS,"Hillmorton High School",-43.5575,172.5928,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,8,351.0,254.3,341.2,3.5794,2.5932,3.4796,20160127_232444_CACS_20,CACS,"Christchurch Canterbury Aero Club",-43.483175585,172.530015293,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,9,127.6,80.0,70.8,1.3016,0.8156,0.7225,20160127_232444_LINC_20,LINC,"Lincoln Crop and Food Research",-43.623179038,172.46800379,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,10,121.7,215.1,316.8,1.2410,2.1937,3.2304,20160127_232445_MORS_20,MORS,"Moorhouse Ave Christchurch",-43.5395,172.6214,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,10,102.2,133.0,100.7,1.0426,1.3564,1.0269,20160127_232444_CBGS_20,CBGS,"Christchurch Botanic Gardens",-43.52934701,172.619876237,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,10,153.7,107.8,155.0,1.5673,1.0994,1.5804,20160127_232444_CMHS_20,CMHS,"Christchurch Cashmere High School",-43.565617957,172.624176115,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,10,139.9,238.7,199.6,1.4265,2.4344,2.0353,20160127_232445_SACS_20,SACS,"St Andrews College Christchurch",-43.50674,172.61619,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,10,366.4,193.4,450.0,3.7367,1.9726,4.5890,20160127_232445_PPHS_20,PPHS,"Christchurch Papanui High School",-43.492846035,172.606916248,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,11,100.1,88.0,118.3,1.0204,0.8975,1.2067,20160127_232445_ROLC_20,ROLC,"Rolleston School",-43.592818023,172.381092806,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,11,206.8,318.3,516.1,2.1083,3.2463,5.2627,20160127_232445_REHS_20,REHS,"Christchurch Resthaven",-43.521946859,172.635146473,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,12,118.0,216.6,190.3,1.2031,2.2087,1.9404,20160127_232446_CCCC_20,CCCC,"Christchurch Cathedral College",-43.538085,172.647427,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,13,184.0,204.5,203.1,1.8758,2.0853,2.0711,20160127_232445_MPSS_20,MPSS,"Mairehau Primary School",-43.499375,172.642253,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,13,147.8,93.8,138.9,1.5074,0.9560,1.4168,20160127_232548_SMTC_20,SMTC,"Styx Mill Transfer Station",-43.467529297,172.613861084,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,13,33.0,53.9,76.8,0.3366,0.5498,0.7835,20160127_232445_HUNS_20,HUNS,"Huntsbury",-43.57937,172.65723,207
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,13,48.9,142.8,118.5,0.4986,1.4564,1.2083,20160127_232445_OPWS_20,OPWS,"Opawa School",-43.55619,172.66429,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,13,116.9,141.5,165.0,1.1924,1.4430,1.6825,20160127_232445_STKS_20,STKS,"Sign of the Kiwi",-43.606541,172.644913,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,14,53.6,136.1,200.4,0.5470,1.3874,2.0438,20160127_232448_SHLC_20,SHLC,"Shirley Library",-43.505336761,172.663391113,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,14,75.2,197.5,107.3,0.7668,2.0136,1.0939,20160127_232445_DALS_20,DALS,"Dallington",-43.51198,172.67323,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,15,173.4,104.6,148.0,1.7686,1.0666,1.5088,20160127_232446_PRPC_20,PRPC,"Pages Road Pumping Station",-43.525813082,172.682771076,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,16,67.4,126.0,143.7,0.6873,1.2844,1.4655,20160127_232445_GOVS_20,GOVS,"Living Springs Camp Governors Bay",-43.652421,172.635725,163
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,17,54.8,77.4,94.0,0.5593,0.7894,0.9582,20160127_232445_MENS_20,MENS,"Menlo Terrace Mount Pleasant Christchurch",-43.55849,172.71149,35
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,17,87.1,112.8,174.2,0.8880,1.1507,1.7764,20160127_232449_HPSC_20,HPSC,"Hulverstone Drive Pumping Station",-43.50157547,172.702194214,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,17,39.5,102.9,106.3,0.4033,1.0494,1.0835,20160127_232446_OHSS_20,OHSS,"Ouruhia School",-43.4446,172.6605,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,19,56.0,60.9,62.1,0.5713,0.6205,0.6334,20160127_232449_LCQC_20,LCQC,"Lyttelton Port Cashin Quay",-43.608578,172.729678,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,20,40.1,0.5,57.2,0.4089,0.0048,0.5832,20160127_232446_SWNC_20,SWNC,"Swannanoa School",-43.369432575,172.495355403,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,20,25.3,37.2,42.8,0.2582,0.3798,0.4368,20160127_232446_PARS_20,PARS,"Panorama Road",-43.567898,172.750717,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,20,49.1,69.3,87.6,0.5008,0.7071,0.8928,20160127_232446_DHSS_20,DHSS,"Diamond Harbour School",-43.63026,172.72725,97
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,20,14.3,21.5,24.6,0.1456,0.2190,0.2509,20160127_232450_SLRC_20,SLRC,"Selwyn Lake Road",-43.67513,172.31752,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,21,32.6,48.3,87.4,0.3329,0.4921,0.8913,20160127_232446_SUMS_20,SUMS,"Sumner",-43.56921,172.75681,9
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,22,15.9,30.9,23.8,0.1619,0.3154,0.2424,20160127_232446_GODS_21,GODS,"Godley Drive",-43.5784,172.76926,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,23,19.2,120.5,63.9,0.1961,1.2291,0.6518,20160127_232447_KPOC_20,KPOC,"Kaiapoi North School",-43.376463195,172.66376756,0.0
