"Earthquake Date (UT)","Time (UT)","ID","Mag Type","Magnitude","Depth (km)","R?","Epic. Dist.(km)","PGA Vertical (mm/s/s)","PGA Horiz_1 (mm/s/s)","PGA Horiz_2 (mm/s/s)","PGA Vertical (%g)","PGA Horiz_1 (%g)","PGA Horiz_2 (%g)","Accelerogram ID","Site Code","Name","Site Latitude","Site Longitude","Site Elevation (m)"
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,28,13.5,40.6,35.3,0.1372,0.4136,0.3599,20160127_232448_DSLC_20,DSLC,"Dunsandel School",-43.667499474,172.19792004,68
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,28,17.1,27.2,33.1,0.1749,0.2773,0.3375,20160127_232453_CSTC_20,CSTC,"Cust School",-43.312290815,172.381334202,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,33,8.0,8.7,9.0,0.0812,0.0884,0.0919,20160127_232448_DFHS_20,DFHS,"Darfield High School",-43.489674622,172.102159687,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,34,12.0,6.0,12.6,0.1223,0.0614,0.1286,20160127_232454_GDLC_20,GDLC,"Greendale",-43.586183,172.088753,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,35,7.7,20.4,19.3,0.0790,0.2076,0.1972,20160127_232449_SMHS_20,SMHS,"Summerhill",-43.26216,172.33463,181
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,38,21.6,31.0,33.1,0.2199,0.3166,0.3377,20160127_232449_TOKS_20,TOKS,"Te Oka Bay Road SW Banks Peninsula",-43.82243,172.78084,577
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,39,8.4,9.4,9.5,0.0859,0.0958,0.0969,20160127_232449_MNZS_20,MNZS,"Menzies Bay Banks Peninsula",-43.637364,172.973808,102
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,45,14.4,23.6,42.2,0.1468,0.2404,0.4306,20160127_232450_OXZ_20,OXZ,"Oxford",-43.3259,172.0383,360
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,47,14.6,16.1,22.2,0.1487,0.1642,0.2267,20160127_232450_AKSS_20,AKSS,"Akaroa School",-43.81091,172.96349,13
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,52,6.8,14.6,10.0,0.0697,0.1484,0.1015,20160127_232452_SPRS_20,SPRS,"Springfield Volunteer Fire Station",-43.3368,171.93008,9999
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,53,8.7,10.6,10.0,0.0889,0.1077,0.1020,20160127_232452_WCSS_20,WCSS,"Whitecliffs",-43.45775,171.86346,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,67,22.9,9.5,10.1,0.2333,0.0967,0.1035,20160127_232455_WAKC_20,WAKC,"Waikari",-42.963102826,172.705240104,219
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,68,4.0,5.5,6.8,0.0405,0.0566,0.0693,20160127_232456_MTHS_20,MTHS,"Methven North",-43.563194,171.666362,410
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,73,7.4,4.4,4.1,0.0758,0.0453,0.0420,20160127_232455_CSHS_20,CSHS,"Castle Hill Station",-43.226526873,171.723556103,731
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,76,7.9,8.5,9.9,0.0808,0.0869,0.1005,20160127_232457_LSRC_20,LSRC,"Lake Sumner Road",-42.869520062,172.543288463,0.0
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,92,2.8,3.5,2.8,0.0288,0.0353,0.0286,20160127_232500_MAYC_20,MAYC,"Mayfield School",-43.82306143,171.421709104,258
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,101,3.4,3.3,3.1,0.0352,0.0338,0.0313,20160127_232503_APPS_20,APPS,"Arthurs Pass Police Station",-42.948949444,171.567735496,743
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,103,2.0,2.6,2.9,0.0200,0.0265,0.0294,20160127_232504_CECS_20,CECS,"Cheviot Emergency Centre",-42.813490547,173.274868178,69
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,148,2.0,2.7,2.5,0.0201,0.0278,0.0252,20160127_232527_FDCS_20,FDCS,"Fairlie District Council Garage",-44.098657034,170.828699884,318
2016-01-27,23:24:41,2016p072907,M,4.11,6.5,,152,1.1,1.5,1.4,0.0112,0.0152,0.0146,20160127_232528_CVZ_20,CVZ,"Cave",-44.38318,171.00616,495
